total_acci,fatal_abs,no_fatal_abs,material_abs,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,lunes,martes,miercoles,jueves,viernes,sabado,domingo,automovil,camioneta_de_pasajeros,microbus,camion_urbano_de_pasajeros,omnibus,camioneta_de_carga,camion_de_carga,tractor,ferrocarril,motocicleta,bicicleta,otro_tipo_de_transporte,hombre,mujer,fuga,conductor,peaton_o_pasajero,falla_del_vehiculo,mala_condicion_camino,otra,pavimentada,no_pavimentada,colision_vehiculo,atropellamiento,colision_animal,colision_objeto_fijo,volcadura,caida_pasajero,salida_camino,incendio,colision_ferrocarril,colision_con_motocicleta,colision_ciclista,otro_tipo_de_accidente,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,menor_de_xviii,xviii_a_xxx,xxx_a_xl,xl_a_lx,mas_de_lx,edad_no_especificada
4628,88.00,1016.00,3524.00,419.00,338.00,427.00,371.00,397.00,363.00,329.00,341.00,428.00,443.00,290.00,482.00,635.00,621.00,597.00,644.00,732.00,775.00,624.00,6212.00,322.00,221.00,160.00,352.00,1486.00,420.00,143.00,10.00,227.00,109.00,147.00,4627.00,1.00,0.00,4546.00,15.00,40.00,20.00,7.00,4353.00,275.00,3258.00,220.00,9.00,215.00,88.00,29.00,537.00,2.00,2.00,20.00,23.00,225.00,117.00,129.00,100.00,84.00,87.00,60.00,83.00,101.00,210.00,216.00,220.00,245.00,198.00,225.00,252.00,281.00,243.00,280.00,297.00,239.00,284.00,220.00,232.00,225.00,81.00,3829.00,276.00,393.00,613.00,0.00
6311,83.00,1247.00,4981.00,371.00,376.00,483.00,504.00,565.00,586.00,587.00,573.00,640.00,514.00,503.00,609.00,938.00,828.00,858.00,870.00,1002.00,1020.00,795.00,8285.00,686.00,352.00,120.00,425.00,1788.00,692.00,244.00,3.00,300.00,124.00,229.00,6027.00,109.00,175.00,5218.00,34.00,99.00,28.00,932.00,6045.00,266.00,4546.00,262.00,12.00,322.00,77.00,35.00,818.00,4.00,3.00,63.00,111.00,58.00,136.00,174.00,136.00,159.00,106.00,76.00,75.00,128.00,273.00,348.00,316.00,287.00,312.00,300.00,412.00,396.00,388.00,335.00,342.00,345.00,376.00,325.00,303.00,263.00,77.00,5159.00,521.00,514.00,784.00,175.00
6694,78.00,1122.00,5494.00,243.00,503.00,614.00,605.00,613.00,625.00,436.00,600.00,694.00,471.00,626.00,664.00,897.00,894.00,928.00,940.00,1122.00,1068.00,845.00,9926.00,575.00,46.00,896.00,50.00,1511.00,393.00,254.00,2.00,259.00,101.00,55.00,5756.00,629.00,309.00,4268.00,28.00,101.00,20.00,2277.00,6476.00,218.00,4908.00,231.00,8.00,748.00,110.00,37.00,374.00,2.00,1.00,124.00,82.00,69.00,144.00,173.00,132.00,136.00,96.00,65.00,74.00,179.00,354.00,398.00,324.00,333.00,341.00,399.00,464.00,442.00,415.00,367.00,381.00,346.00,328.00,314.00,260.00,229.00,130.00,4641.00,889.00,851.00,1410.00,309.00
8256,65.00,1374.00,6817.00,601.00,781.00,668.00,619.00,705.00,678.00,639.00,712.00,589.00,774.00,730.00,760.00,1134.00,1182.00,1082.00,1099.00,1368.00,1295.00,1096.00,12281.00,608.00,326.00,865.00,129.00,1875.00,436.00,290.00,3.00,323.00,134.00,29.00,7063.00,765.00,428.00,4090.00,64.00,122.00,49.00,3931.00,7983.00,273.00,5974.00,288.00,15.00,857.00,176.00,37.00,479.00,10.00,2.00,226.00,117.00,75.00,206.00,178.00,184.00,171.00,130.00,91.00,90.00,220.00,456.00,425.00,377.00,431.00,430.00,457.00,573.00,528.00,518.00,471.00,495.00,432.00,414.00,375.00,322.00,282.00,173.00,5455.00,1223.00,1167.00,1888.00,428.00
10634,81.00,1301.00,9252.00,759.00,766.00,894.00,799.00,879.00,797.00,925.00,894.00,969.00,992.00,1007.00,953.00,1512.00,1351.00,1431.00,1425.00,1779.00,1725.00,1411.00,12825.00,1644.00,144.00,1533.00,113.00,2019.00,696.00,383.00,0.00,386.00,123.00,153.00,9055.00,1067.00,512.00,7099.00,38.00,128.00,40.00,3329.00,10299.00,335.00,8015.00,349.00,10.00,910.00,158.00,45.00,656.00,2.00,4.00,250.00,123.00,112.00,353.00,252.00,180.00,196.00,160.00,95.00,138.00,288.00,555.00,550.00,522.00,537.00,520.00,622.00,712.00,677.00,589.00,616.00,532.00,602.00,615.00,542.00,450.00,331.00,97.00,8639.00,802.00,757.00,1184.00,512.00
11055,82.00,1000.00,9973.00,979.00,898.00,880.00,899.00,904.00,953.00,749.00,871.00,916.00,1043.00,931.00,1032.00,1518.00,1538.00,1500.00,1451.00,1765.00,1815.00,1468.00,12254.00,2581.00,490.00,945.00,303.00,2437.00,704.00,352.00,0.00,430.00,116.00,248.00,10010.00,736.00,309.00,6457.00,54.00,199.00,83.00,4262.00,10750.00,305.00,8559.00,329.00,25.00,918.00,169.00,43.00,591.00,5.00,11.00,206.00,116.00,83.00,363.00,245.00,222.00,231.00,197.00,146.00,134.00,290.00,665.00,633.00,585.00,531.00,582.00,618.00,690.00,736.00,682.00,570.00,571.00,538.00,555.00,544.00,433.00,294.00,99.00,9177.00,806.00,774.00,1273.00,309.00
10751,93.00,1394.00,9264.00,913.00,819.00,981.00,920.00,910.00,976.00,867.00,891.00,875.00,911.00,819.00,869.00,1405.00,1431.00,1440.00,1373.00,1726.00,1869.00,1507.00,11316.00,4191.00,170.00,1092.00,280.00,1206.00,722.00,386.00,0.00,402.00,96.00,201.00,9173.00,1048.00,530.00,2870.00,74.00,202.00,80.00,7525.00,10577.00,174.00,7924.00,340.00,22.00,1096.00,179.00,40.00,713.00,11.00,6.00,192.00,96.00,132.00,392.00,242.00,234.00,228.00,195.00,218.00,187.00,387.00,576.00,628.00,508.00,446.00,532.00,526.00,660.00,665.00,586.00,567.00,612.00,567.00,569.00,526.00,413.00,287.00,120.00,8116.00,1108.00,1052.00,1731.00,530.00
9793,103.00,1468.00,8222.00,874.00,770.00,881.00,808.00,796.00,756.00,664.00,739.00,894.00,859.00,851.00,901.00,1316.00,1248.00,1256.00,1288.00,1562.00,1709.00,1414.00,9902.00,4135.00,395.00,325.00,625.00,1102.00,542.00,442.00,0.00,455.00,78.00,90.00,7951.00,1105.00,737.00,7581.00,95.00,181.00,50.00,1886.00,9646.00,147.00,7068.00,326.00,19.00,1062.00,201.00,40.00,662.00,14.00,5.00,271.00,78.00,47.00,375.00,272.00,238.00,238.00,201.00,168.00,166.00,309.00,528.00,522.00,443.00,444.00,455.00,494.00,575.00,574.00,550.00,505.00,494.00,581.00,503.00,470.00,403.00,285.00,192.00,5826.00,1692.00,1607.00,2665.00,717.00
10528,90.00,1412.00,9026.00,801.00,948.00,820.00,814.00,907.00,799.00,714.00,932.00,866.00,1018.00,923.00,986.00,1434.00,1420.00,1453.00,1395.00,1695.00,1713.00,1418.00,10527.00,3695.00,165.00,873.00,206.00,2278.00,847.00,366.00,13.00,453.00,67.00,136.00,8658.00,1173.00,697.00,9925.00,118.00,195.00,252.00,38.00,10347.00,181.00,7867.00,279.00,18.00,977.00,194.00,66.00,729.00,13.00,13.00,249.00,67.00,56.00,1516.00,223.00,199.00,213.00,166.00,172.00,142.00,340.00,532.00,570.00,418.00,411.00,450.00,490.00,579.00,554.00,524.00,499.00,486.00,525.00,501.00,433.00,340.00,245.00,222.00,5694.00,2159.00,2075.00,3449.00,685.00
10489,91.00,1367.00,9031.00,787.00,787.00,829.00,829.00,923.00,930.00,825.00,821.00,838.00,1002.00,878.00,1040.00,1386.00,1386.00,1371.00,1399.00,1735.00,1744.00,1468.00,11004.00,3680.00,69.00,1051.00,268.00,2222.00,750.00,324.00,16.00,458.00,124.00,157.00,8645.00,1159.00,685.00,9783.00,59.00,238.00,73.00,336.00,10299.00,190.00,7932.00,265.00,19.00,946.00,218.00,50.00,666.00,17.00,9.00,225.00,88.00,54.00,358.00,260.00,229.00,233.00,199.00,170.00,190.00,403.00,633.00,550.00,496.00,485.00,492.00,496.00,666.00,647.00,526.00,570.00,520.00,602.00,590.00,499.00,394.00,281.00,210.00,3863.00,2116.00,2027.00,3426.00,2516.00
11642,77.00,1304.00,10261.00,889.00,808.00,823.00,866.00,723.00,797.00,821.00,1069.00,1090.00,1349.00,1150.00,1257.00,1498.00,1471.00,1580.00,1589.00,1870.00,1968.00,1663.00,12813.00,2562.00,155.00,700.00,867.00,3127.00,706.00,348.00,17.00,457.00,99.00,90.00,9543.00,1514.00,585.00,11366.00,27.00,187.00,41.00,21.00,11511.00,131.00,8602.00,270.00,28.00,1318.00,216.00,49.00,743.00,12.00,12.00,271.00,70.00,51.00,434.00,284.00,261.00,268.00,232.00,210.00,218.00,462.00,698.00,683.00,555.00,556.00,499.00,584.00,701.00,760.00,696.00,533.00,496.00,686.00,615.00,528.00,426.00,257.00,232.00,4567.00,2686.00,2620.00,4510.00,1767.00
14713,104.00,1617.00,12992.00,1253.00,1143.00,1310.00,1122.00,1248.00,1248.00,1195.00,1229.00,1176.00,1339.00,1179.00,1271.00,2018.00,1973.00,1916.00,1942.00,2299.00,2539.00,2026.00,14979.00,3311.00,74.00,289.00,2155.00,4299.00,967.00,505.00,16.00,774.00,161.00,97.00,11961.00,1966.00,786.00,14041.00,32.00,344.00,119.00,177.00,14428.00,285.00,10949.00,341.00,17.00,1555.00,253.00,102.00,985.00,14.00,8.00,343.00,98.00,48.00,602.00,314.00,306.00,274.00,260.00,292.00,255.00,470.00,911.00,878.00,693.00,689.00,740.00,766.00,951.00,945.00,830.00,763.00,722.00,781.00,771.00,684.00,518.00,298.00,250.00,5886.00,3723.00,3548.00,5990.00,1730.00
14207,75.00,1449.00,12683.00,1137.00,1084.00,1296.00,1105.00,1194.00,1244.00,1071.00,1212.00,1168.00,1261.00,1277.00,1158.00,2029.00,1923.00,1805.00,1953.00,2265.00,2341.00,1891.00,14758.00,3168.00,52.00,631.00,1793.00,3701.00,856.00,434.00,17.00,748.00,130.00,87.00,11632.00,1854.00,721.00,13624.00,16.00,386.00,63.00,118.00,13964.00,243.00,10330.00,363.00,35.00,1480.00,198.00,110.00,1073.00,7.00,10.00,461.00,90.00,50.00,476.00,275.00,280.00,255.00,272.00,261.00,235.00,469.00,826.00,869.00,644.00,639.00,699.00,714.00,830.00,946.00,900.00,803.00,698.00,800.00,746.00,713.00,537.00,320.00,247.00,5447.00,3682.00,3491.00,5996.00,1644.00
14576,92.00,1341.00,13143.00,1217.00,1128.00,1360.00,1042.00,1347.00,1291.00,1100.00,1084.00,1133.00,1320.00,1159.00,1395.00,1996.00,1974.00,1901.00,1984.00,2348.00,2447.00,1926.00,15667.00,2687.00,74.00,403.00,1839.00,3814.00,905.00,459.00,9.00,746.00,126.00,144.00,12166.00,1733.00,677.00,14185.00,35.00,245.00,51.00,60.00,14231.00,345.00,10417.00,358.00,28.00,1712.00,184.00,96.00,1137.00,4.00,5.00,489.00,101.00,45.00,449.00,314.00,283.00,260.00,269.00,214.00,258.00,456.00,835.00,913.00,702.00,657.00,709.00,811.00,963.00,929.00,864.00,758.00,729.00,816.00,806.00,712.00,539.00,330.00,260.00,5525.00,4126.00,4021.00,6643.00,1356.00
12099,69.00,1051.00,10979.00,1070.00,1011.00,1058.00,989.00,1098.00,1012.00,948.00,970.00,918.00,1026.00,961.00,1038.00,1618.00,1557.00,1646.00,1575.00,1956.00,2052.00,1695.00,13421.00,2187.00,143.00,626.00,838.00,2541.00,891.00,319.00,7.00,733.00,82.00,109.00,9867.00,1514.00,718.00,11691.00,77.00,220.00,40.00,71.00,11812.00,287.00,7602.00,299.00,20.00,2414.00,134.00,65.00,893.00,8.00,3.00,547.00,68.00,46.00,408.00,277.00,271.00,268.00,247.00,219.00,246.00,435.00,697.00,754.00,599.00,573.00,542.00,609.00,738.00,721.00,678.00,658.00,558.00,666.00,678.00,520.00,454.00,283.00,172.00,4445.00,3203.00,3113.00,5614.00,1216.00
